"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1886","get started link","chromium","Thu Aug 29 16:43:09 ICT 2024","passed","Thu Aug 29 16:43:11 ICT 2024","Using Authentication Status","example.spec.ts","",""
"","2008","has title","chromium","Thu Aug 29 16:43:17 ICT 2024","passed","Thu Aug 29 16:43:19 ICT 2024","Using Authentication Status","example.spec.ts","",""
